2 1.75242
3 2.76913
4 3.80587
5 4.85433
6 5.91048
7 6.97207
8 8.03772
9 9.1065
10 10.1778
11 11.2511
12 12.3261
13 13.4025
14 14.4802
15 15.5589
16 16.6386
17 17.719
18 18.8002
19 19.882
20 20.9645
21 22.0474
22 23.1308
23 24.2147
24 25.2989
25 26.3835
26 27.4685
27 28.5537
28 29.6393
29 30.7251
30 31.8112
31 32.8975
32 33.9841
33 35.0708
34 36.1577
35 37.2449
36 38.3322
37 39.4196
38 40.5072
39 41.595
40 42.6829
41 43.771
42 44.8591
43 45.9474
44 47.0358
45 48.1243
46 49.213
47 50.3017
48 51.3905
49 52.4794
50 53.5684
51 54.6575
52 55.7467
53 56.8359
54 57.9252
55 59.0146
56 60.1041
57 61.1936
58 62.2833
59 63.3729
60 64.4626
61 65.5524
62 66.6423
63 67.7322
64 68.8221
65 69.9122
66 71.0022
67 72.0923
68 73.1825
69 74.2727
70 75.3629
71 76.4532
72 77.5436
73 78.6339
74 79.7244
75 80.8148
76 81.9053
77 82.9958
78 84.0864
79 85.177
80 86.2676
81 87.3583
82 88.449
83 89.5398
84 90.6305
85 91.7213
86 92.8122
87 93.903
88 94.9939
89 96.0848
90 97.1758
91 98.2667
92 99.3577
93 100.449
94 101.54
95 102.631
96 103.722
97 104.813
98 105.904
99 106.995
100 108.087
